pays,population_totale_2017,croissance_pop_2012_2017_pct,pib_habitant_usd,indice_stabilite_politique,indice_score_epi,conso_volaille_kg_hab,conso_volaille_pct,importations_volaille_kg,tdi_volaille_pct
Chili,18470439.000,6.150,14891.261,0.410,57.490,36.360,43.720,155000000.000,17.880
Chypre,1179678.000,3.932,18294.654,0.530,72.600,25.080,34.440,14000000.000,35.900
Colombie,48909839.000,6.151,6479.532,-0.780,65.220,31.990,57.240,78000000.000,4.750
Congo,5110695.000,13.314,2211.633,-0.530,42.390,21.530,53.680,104000000.000,93.690
Costa Rica,4949954.000,5.588,12317.090,0.600,67.850,26.520,49.520,17000000.000,11.330
Côte d'Ivoire,24437470.000,13.414,1964.299,-1.090,45.250,2.530,20.450,7000000.000,10.770
Croatie,4182857.000,-2.631,13868.732,0.680,65.450,10.770,14.300,24000000.000,28.240
Cuba,11339254.000,0.730,8610.639,0.640,63.420,23.720,42.760,312000000.000,91.500
Danemark,5732274.000,2.163,57519.676,0.850,81.600,28.980,40.920,133000000.000,43.460
Djibouti,944099.000,8.750,2618.958,-0.730,40.040,2.680,17.820,3000000.000,100.000
Dominique,71458.000,0.695,7601.848,1.170,59.380,35.190,63.960,4000000.000,100.000
Égypte,96442591.000,11.595,1982.615,-1.430,61.210,12.960,49.300,110000000.000,8.960
El Salvador,6388126.000,2.408,4020.126,-0.260,53.910,20.430,66.940,16000000.000,10.530
Émirats arabes unis,9487203.000,3.781,42289.688,0.600,58.900,43.470,70.090,433000000.000,90.020
Équateur,16785361.000,8.474,6233.322,-0.080,57.420,19.310,42.700,0.000,0.000
Espagne,46647428.000,-0.883,28201.274,0.270,78.390,30.390,30.310,205000000.000,11.920
Estonie,1319390.000,-0.285,20850.881,0.640,64.310,21.260,33.410,21000000.000,51.220
Eswatini,1124805.000,4.217,3803.178,-0.270,40.320,6.460,23.400,2000000.000,25.000
États-Unis d'Amérique,325084756.000,3.516,59036.204,0.260,71.190,55.680,44.870,123000000.000,0.560
Éthiopie,106399924.000,14.745,700.257,-1.680,44.780,0.130,2.410,1000000.000,6.670
Fédération de Russie,145530082.000,1.067,10768.410,-0.640,63.790,30.980,40.440,226000000.000,4.840
Fidji,877459.000,1.432,5826.850,0.590,53.090,28.020,63.910,3000000.000,11.540
Finlande,5511371.000,1.784,46083.495,1.060,78.640,18.760,24.460,16000000.000,11.030
France,64842509.000,2.011,39655.008,0.270,83.950,22.900,27.580,506000000.000,22.430
Gabon,2064823.000,18.011,6921.807,-0.110,45.050,29.330,49.540,76000000.000,95.000
Gambie,2213889.000,16.214,642.523,-0.090,42.420,3.530,45.200,16000000.000,88.890
Géorgie,4008716.000,-1.363,4343.171,-0.380,55.690,15.270,47.970,51000000.000,69.860
Ghana,29121465.000,12.021,2012.970,0.080,49.660,7.240,52.690,151000000.000,71.560
Grèce,10569450.000,-1.963,18633.978,-0.080,73.600,15.320,21.370,79000000.000,24.310
Grenade,110874.000,3.190,9751.433,0.990,50.930,45.700,76.950,7000000.000,87.500
Guatemala,16914970.000,10.767,4324.996,-0.650,52.330,20.580,56.550,129000000.000,35.440
Guinée,12067519.000,13.288,833.599,-0.700,46.620,4.080,31.260,37000000.000,74.000
